#Prestal File V0.0.1	2025-3-6_14-27-53_17272
#Generate by ../../../JHS_ana_v05/JHS_ana/testdata/20250226091806_baseline_entry.root
#fecid channelid mean sigma chi2/ndf
3 24 604.099 10.7168 8.72998
3 25 612.64 11.8413 18.1457
3 26 607.186 12.4124 5.16708
3 27 621.808 12.0541 7.11997
3 28 631.264 11.0958 9.40007
3 29 613.512 11.8233 15.0859
3 30 625.936 12.3144 6.6765
3 31 607.199 12.1412 5.94835
3 32 719.084 10.0778 50.0493
3 33 617.299 10.3468 2.38466
3 34 657.58 10.8773 1.18848
3 35 627.287 10.481 4.23063
3 36 661.7 11.3359 40.2337
3 37 619.003 11.5525 32.679
3 38 689.385 10.8992 4.3852
3 39 633.276 11.2807 2.90659
3 40 634.025 11.1075 1.61101
3 41 614.641 10.9853 35.0967
3 42 692.409 10.3977 3.229
3 43 688.531 8.91938 3.8388
3 44 663.563 10.5096 53.9109
3 45 626.048 9.51902 3.20363
3 46 674.428 10.3334 21.3775
3 47 644.691 10.3417 309.617
3 48 601.462 10.4139 2.98652
3 49 623.07 7.96731 70.3402
3 50 648.47 10.1255 11.7982
3 51 603.028 8.22973 2.29827
3 52 603.942 10.2865 3.05841
3 53 608.938 9.45279 1.28858
3 54 615.311 10.2437 2.17442
3 55 626.699 8.55216 6.91429
3 56 627.167 9.46766 4.63061
3 57 628.355 8.10685 21.3498
3 58 631.478 9.11164 11.1839
3 59 675.226 7.96831 7.40222
3 60 696.312 8.19008 1.84742
3 61 671.979 11.7388 14.3598
3 62 679.014 10.1155 2.86431
3 63 641.282 8.72643 5.04571
3 64 684.059 14.7655 8.98717
3 65 693.592 21.7673 3.48375
3 66 591.892 18.2749 18.257
3 67 651.476 23.3296 7.04458
3 68 592.027 15.8205 9.04082
3 69 580.735 18.6802 10.0112
3 70 590.819 24.4474 14.5703
3 71 611.159 17.2296 8.59526
3 72 640.499 20.8584 19.8272
3 73 636.355 20.8142 36.6476
3 74 614.839 31.2398 5.63156
3 75 664.321 18.2596 13.4903
3 76 615.131 28.654 9.6971
3 77 598.486 31.5467 5.33345
3 78 589.511 20.527 25.1417
3 79 593.95 26.9307 4.26492
3 80 648.998 17.7727 45.0598
3 81 601.623 20.4638 33.0232
3 82 645.339 30.0741 57.462
3 83 623.417 25.7379 7.83391
3 84 606.998 34.1791 45.1907
3 85 635.773 36.8107 56.3394
3 86 614.362 55.3879 28.9037
3 87 597.081 25.0161 44.2922
3 88 651.282 16.3874 22.3079
3 89 627.544 16.1226 16.8893
3 90 630.571 20.5378 7.4035
3 91 605.46 22.635 3.71279
3 92 601.218 22.8061 6.17546
3 93 617.752 18.0831 10.9529
