#Prestal File V0.0.1	2024-11-7_14-22-54_358243
#Generate by /mnt/d/jhs/tstData/20241107142157_baseline_entry.root
#fecid channelid mean sigma chi2/ndf
2 76 622.262 7.13825 998.238
2 77 634.215 6.97398 624.048
2 78 604.853 10.0125 48.5884
2 79 597.191 7.68205 53.9259
2 80 643.943 10.6559 169.42
2 81 601.054 6.60906 434.233
2 82 621.448 13.3236 30.0622
2 83 603.051 7.47763 77.2138
2 84 594.858 14.0117 140.88
2 85 622.685 13.2423 86.4573
2 86 604.607 7.08764 774.213
2 87 600.556 11.7305 91.4649
2 88 642.347 6.72389 101.569
2 89 621.488 7.91253 140.549
2 90 623.572 6.75538 778.23
2 91 611.246 6.7456 436.391
2 92 600.267 7.19459 57.3906
2 93 616.868 6.36065 113.459
2 94 600.269 8.32194 20.6492
2 95 607.937 7.27048 133.435
2 96 611.821 7.69579 170.345
2 97 611.829 6.15026 320.801
2 98 585.022 7.01424 91.0313
2 99 604.957 6.1993 69.3294
2 100 595.502 7.58849 329.118
2 101 580.549 7.49914 576.849
2 102 590.409 6.71056 355.998
2 103 583.671 7.98646 131.166
2 104 598.468 7.69359 65.8591
2 105 613.91 7.52936 95.2303
2 106 595.683 6.56801 60.6636
2 107 628.901 6.83993 353.366
2 108 596.707 6.84394 1342.77
2 109 590.605 6.18917 1310.94
2 110 596.883 7.83066 329.281
2 111 592.588 6.62816 384.865
2 112 643.232 7.40564 140.854
2 113 601.45 6.74764 169.432
2 114 639.871 7.39265 168.681
2 115 622.721 6.88379 28.9067
2 116 606.696 6.92702 552.092
2 117 619.051 7.66739 189.049
2 118 619.065 6.97846 808.264
2 119 620.921 7.62642 563.762
2 120 641.03 6.98558 20.8069
2 121 625.439 6.74837 66.8268
2 122 633.248 6.60786 20.9369
2 123 604.535 6.86001 55.0045
2 124 625.821 7.4549 38.7571
2 125 636.879 7.08821 20.1138
2 126 624.59 7.35149 51.0634
2 127 622.309 6.90054 66.5073
3 0 719.02 18.3213 46.354
3 1 665.889 7.03667 126.304
3 2 626.881 16.0846 68.4214
3 3 597.188 8.03313 92.6125
3 4 640.852 19.9408 71.3321
3 5 609.062 7.37783 519.806
3 6 621.336 21.2157 96.8981
3 7 616.449 8.23571 423.556
3 8 601.108 15.4417 111.975
3 9 601.787 6.59932 233.764
3 10 637.019 15.5828 156.171
3 11 620.7 6.94588 232.343
3 12 686.646 15.9945 466.297
3 13 633.624 6.57672 1230.51
3 14 619.308 9.45253 385.585
3 15 617.941 7.21879 463.399
3 16 613.52 16.2772 118.167
3 17 620.324 6.99132 263.657
3 18 614.137 15.675 25.2226
3 19 601.001 6.61162 36.1224
3 20 613.108 14.1437 123.547
3 21 615.152 6.78715 391.411
3 22 618.199 13.6617 305.265
3 23 634.829 6.64127 656.821
3 24 615.516 12.9396 35.8516
3 25 614.652 6.48856 201.049
3 26 614.356 15.065 18.8569
3 27 623.409 6.43933 49.37
3 28 612.779 13.2988 69.7759
3 29 627.898 6.26698 20.4896
3 30 614.704 15.6944 30.8429
3 31 622.224 6.49507 14.689
3 32 719.035 11.4526 35.9188
3 33 623.748 6.08422 84.9889
3 34 647.991 12.191 231.023
3 35 612.391 6.26522 329.414
3 36 663.306 14.5277 94.1504
3 37 626.773 5.8059 742.736
3 38 676.331 14.7268 156.208
3 39 642.316 6.36139 680.391
3 40 628.082 13.142 43.3353
3 41 614.249 6.01008 260.548
3 42 697.141 12.5992 217.359
3 43 664.623 6.38484 242.986
3 44 645.184 12.8031 306.398
3 45 626.712 5.50403 959.998
3 46 680.992 12.0344 128.237
3 47 650.835 4.64154 731.501
3 48 615.257 14.5598 72.7988
3 49 620.829 6.82293 304.073
3 50 619.443 13.5784 33.5352
3 51 599.684 6.32066 42.4679
3 52 625.744 11.042 155.434
3 53 590.364 5.84819 469.511
3 54 621.298 11.3862 448.445
3 55 617.896 6.03726 875.452
3 56 626.416 11.124 101.354
3 57 623.735 6.65105 309.575
3 58 626.329 11.8406 37.8566
3 59 652.578 6.41148 142.295
3 60 691.705 6.91859 143.469
3 61 665.031 7.31903 37.3952
3 62 678.378 11.0729 30.665
3 63 652.164 6.63126 18.1615
3 64 685.299 9.33653 186.362
3 65 696.967 7.55086 183.068
3 66 592.698 8.67805 36.1781
3 67 657.062 8.08331 37.6934
3 68 601.244 10.2346 200.263
3 69 602.949 9.62736 353.308
3 70 603.419 8.85903 310.409
3 71 619.263 9.20852 162.958
3 72 646.297 17.0019 69.9853
3 73 640.211 9.13634 122.761
3 74 609.776 8.06443 27.5683
3 75 651.073 8.50224 204.599
3 76 606.85 13.2305 1308.55
3 77 612.736 8.89447 1068.5
3 78 593.108 9.18945 359.31
3 79 595.518 8.62045 375.221
3 80 642.435 8.24524 181.899
3 81 600.906 7.41892 131.762
3 82 626.648 8.45973 41.4222
3 83 614.038 8.01864 46.0263
3 84 615.023 9.44063 82.8706
3 85 626.65 7.90896 41.124
3 86 600.462 7.70644 522.368
3 87 618.924 8.96027 228.637
3 88 649.172 7.40405 22.2933
3 89 649.126 7.98791 25.0629
3 90 624.943 7.56671 150.627
3 91 595.436 7.4167 72.2467
3 92 620.194 7.95668 21.9945
3 93 624.657 6.98108 35.8836
3 94 617.795 8.04191 46.5802
3 95 609.342 8.56272 63.6627
3 96 612.044 7.72752 133.927
3 97 613.079 6.80873 298.83
3 98 597.368 7.05108 55.7297
3 99 606.888 7.02076 37.6461
3 100 595.91 8.07898 271.388
3 101 598.827 7.63203 448.041
3 102 609.425 7.57192 266.113
3 103 601.619 8.17369 125.181
3 104 621.11 7.45108 107.486
3 105 607.258 7.3731 157.939
3 106 614.658 6.71838 30.6881
3 107 632.896 7.19283 275.953
3 108 600.804 6.84326 1468.17
3 109 613.656 6.79805 1404.57
3 110 604.823 7.63363 382.448
3 111 613.781 7.01735 477.212
3 112 642.489 7.85084 406.053
3 113 629.663 6.70566 482.325
3 114 643.59 7.0093 87.2687
3 115 629.169 7.12899 29.5335
3 116 601.343 6.96965 896.49
3 117 620.715 7.70619 357.466
3 118 632.774 6.61669 942.228
3 119 645.86 7.99231 792.107
3 120 657.313 7.23364 35.584
3 121 630.109 7.10309 122.01
3 122 667.433 6.72139 20.6757
3 123 603.496 7.48022 83.3063
3 124 662.218 7.51165 31.2642
3 125 643.584 6.90945 44.0151
3 126 636.219 7.554 39.0876
3 127 634.206 7.01562 22.1114
4 0 704.797 20.2433 93.1484
4 1 659.94 8.00634 246.946
4 2 600.139 17.6535 12.6166
4 3 588.654 7.80228 11.3992
4 4 637.058 22.1616 70.4082
4 5 607.732 7.79716 287.118
4 6 611.826 23.0298 17.409
4 7 621.991 8.27675 96.0147
4 8 601.661 17.3642 51.7182
4 9 582.979 6.73696 122.654
4 10 632.763 17.0645 42.1068
4 11 621.72 6.73117 29.4428
4 12 675.902 17.6724 469.81
4 13 639.544 7.28558 1141.74
4 14 615.788 13.1321 258.423
4 15 613.818 6.97115 466.625
4 16 591.402 17.0221 196.011
4 17 604.31 6.63749 367.813
4 18 588.523 16.8967 29.0879
4 19 587.529 6.39089 9.212
4 20 606.757 14.7123 47.0206
4 21 591.993 6.51223 232.918
4 22 612.818 15.1997 32.1901
4 23 596.509 6.45925 3.98442
4 24 596.724 13.3106 99.8256
4 25 592.449 6.41779 142.048
4 26 599.663 15.8307 29.8398
4 27 611.086 6.68866 22.7989
4 28 603.942 13.6174 97.8971
4 29 601.013 5.99649 248.365
4 30 609.862 15.7747 66.2856
4 31 599.826 6.32022 76.1771
4 32 691.683 13.453 66.4914
4 33 622.907 5.49526 323.979
4 34 649.641 13.9488 156.864
4 35 597.845 6.52099 214.162
4 36 648.131 16.208 110.848
4 37 621.389 5.94397 602.876
4 38 657.665 16.3813 110.934
4 39 625.442 5.92114 508.269
4 40 620.52 16.1617 69.1806
4 41 593.234 6.30383 263.307
4 42 667.951 14.8605 136.974
4 43 658.256 6.05376 269.422
4 44 642.45 15.0744 388.037
4 45 622.3 5.72304 1360
4 46 671.265 11.185 259.895
4 47 640.083 6.34359 582.21
4 48 601.303 16.5303 174.599
4 49 605.862 6.13107 771.868
4 50 609.677 15.8605 35.3701
4 51 600.996 6.04031 57.4098
4 52 595.017 12.96 228.444
4 53 588.046 6.33499 647.303
4 54 605.692 13.1007 304.012
4 55 613.838 6.61931 914.644
4 56 626.121 12.5793 64.5804
4 57 621.973 6.67169 236.353
4 58 613.177 13.198 26.7078
4 59 652.369 6.23501 136.93
4 60 683.336 7.4738 102.859
4 61 652.784 9.97585 34.7515
4 62 666.637 12.4841 19.4379
4 63 646.915 6.8082 11.2294
4 64 700.823 8.09546 57.5214
4 65 689.6 8.23731 150.804
4 66 615.556 7.88955 327.549
4 67 655.233 9.39025 130.169
4 68 627.216 9.21783 217.669
4 69 614.356 8.90763 400.935
4 70 622.711 9.15278 477.394
4 71 635.523 8.2734 328.45
4 72 667.089 18.241 99.3946
4 73 652.048 8.36404 270.832
4 74 604.983 7.53956 72.299
4 75 656.627 7.59985 262.896
4 76 611.335 8.73927 1086.22
4 77 625.47 8.21018 776.371
4 78 601.098 8.72938 80.2098
4 79 603.762 8.47678 110.611
4 80 629.2 7.24736 154.766
4 81 602.067 6.68186 212.349
4 82 626.939 7.54421 29.8053
4 83 605.269 7.19037 84.5873
4 84 613.371 8.272 147.077
4 85 633.485 6.91332 105.253
4 86 608.248 6.7727 1032.75
4 87 607.059 8.20231 388.885
4 88 642.434 6.52383 102.937
4 89 642.156 7.15103 98.796
4 90 617.711 6.48209 496.589
4 91 595.359 6.54282 234.709
4 92 610.348 15.0955 21.2628
4 93 623.957 6.33373 49.1226
4 94 613.291 7.04064 17.6983
4 95 617.395 7.12747 44.5027
4 96 608.949 7.39511 53.7672
4 97 607.399 6.0101 400.781
