# JW [fengmo] fec2det channel map
# fec_id channel_id dim channel_id
3	66      1	311
3	2       1	312
3	69      1	313
3	0       1	314
3	64      1	315
3	4       1	316
3	68      1	317
3	6       1	318
3	71      1	319
3	72      1	320
4	61      1	65
4	63      1	66
4	123     1	67
4	57      1	68
4	121     1	69
4	59      1	70
4	125     1	71
4	49      1	72
4	113     1	73
4	51      1	74
4	114     1	75
4	43      1	76
4	127     1	77
4	55      1	78
4	116     1	79
4	53      1	80
4	118     1	81
4	47      1	82
4	106     1	83
4	45      1	84
4	109     1	85
4	41      1	86
4	107     1	87
4	33      1	88
4	108     1	89
4	35      1	90
4	111     1	91
4	39      1	92
4	97      1	93
4	37      1	94
4	99      1	95
4	27      1	96
4	102     1	97
4	25      1	98
4	91      1	99
4	29      1	100
4	90      1	101
4	31      1	102
4	93      1	103
4	19      1	104
4	81      1	105
4	17      1	106
4	92      1	107
4	21      1	108
4	95      1	109
4	23      1	110
4	83      1	111
4	11      1	112
4	86      1	113
4	9       1	114
4	74      1	115
4	13      1	116
4	77      1	117
4	15      1	118
4	76      1	119
4	3       1	120
4	79      1	121
4	1       1	122
4	65      1	123
4	5       1	124
4	67      1	125
4	7       1	126
4	70      1	127
4	75      1	128
4	60      1	129
4	62      1	130
4	120     1	131
4	56      1	132
4	122     1	133
4	58      1	134
4	126     1	135
4	48      1	136
4	112     1	137
4	50      1	138
4	124     1	139
4	42      1	140
4	117     1	141
4	54      1	142
4	115     1	143
4	52      1	144
4	119     1	145
4	45      1	146
4	105     1	147
4	44      1	148
4	110     1	149
4	40      1	150
4	104     1	151
4	32      1	152
4	98      1	153
4	34      1	154
4	101     1	155
4	38      1	156
4	96      1	157
4	36      1	158
4	100     1	159
4	26      1	160
4	103     1	161
4	24      1	162
4	88      1	163
4	28      1	164
4	89      1	165
4	30      1	166
4	94      1	167
4	18      1	168
4	80      1	169
4	16      1	170
4	82      1	171
4	20      1	172
4	85      1	173
4	22      1	174
4	84      1	175
4	10      1	176
4	87      1	177
4	8       1	178
4	73      1	179
4	12      1	180
4	78      1	181
4	14      1	182
4	66      1	183
4	2       1	184
4	69      1	185
4	0       1	186
4	64      1	187
4	4       1	188
4	68      1	189
4	6       1	190
4	71      1	191
4	72      1	192
